CustomerID,InternalObligorID,OriginalInternalObligorID,ObligorName,InternalCreditFacilityID,OriginalInternalCreditFacilityID,City,Country,ZipCodeForeignMailingCode,IndustryCode,IndustryCodeType,EntityIndustryCode,StockExchange,TKR,CUSIP,ObligorLEI,PSRLEI,OriginationDate,MaturityDate,CurrentMaturityDate,FacilityType,CreditFacilityPurpose,CommittedExposure,UtilizedExposureGlobal,NetSalesCurrent,NetSalesPriorYear,OperatingIncome,RetainedEarnings,ProbabilityOfDefault,LGD,EAD,ASC32620,GuarantorFlag,GuarantorName,GuarantorTIN,GuarantorInternalID,GuarantorInternalRiskRating,CollateralMarketValue,SecurityType,ParticipationFlag,ParticipationInterest,InternalRating,TIN,OtherFacilityType,OtherFacilityPurpose,LineReportedOnFRY9C,LineOfBusiness,CumulativeChargeoffs,PastDue,NonAccrualDate,LienPosition,InterestRateVariability,InterestRate,InterestRateIndex,InterestRateSpread,InterestRateCeiling,InterestRateFloor,TaxStatus,EntityInternalID,EntityName,EntityInternalRiskRating,DateFinancials,DateLastAudit,DepreciationAmortization,InterestExpense,NetIncomeCurrent,NetIncomePriorYear,CashMarketableSecurities,AccountsReceivableCurrent,AccountsReceivablePriorYear,InventoryCurrent,InventoryPriorYear,CurrentAssetsCurrent,CurrentAssetsPriorYear,TangibleAssets,FixedAssets,TotalAssetsCurrent,TotalAssetsPriorYear,AccountsPayableCurrent,AccountsPayablePriorYear,ShortTermDebt,CurrentMaturitiesLongTermDebt,CurrentLiabilitiesCurrent,CurrentLiabilitiesPriorYear,LongTermDebt,MinorityInterest,TotalLiabilities,CapitalExpenditures,SNCInternalCreditID,LOCOM,CommittedExposureGlobalParValue,UtilizedExposureGlobalParValue,CommittedExposureGlobalFairValue,UtilizedExposureGlobalFairValue,SpecialPurposeEntityFlag,RenewalDate,CreditFacilityCurrency,PrepaymentPenaltyFlag,LeveragedLoanFlag,DispositionFlag,DispositionScheduleShift,SyndicatedLoanFlag,TargetHold,PCDNoncreditDiscount
CUST-13596538,IOB-13596538,IOB-13596538,"Woods, Edwards and Rodriguez",FAC-13596538,FAC-13596538,Port Joseph,US,73938,541511,1,541511,NYSE,NTYR,NA,549300NKSHFRVNFRMTEC,549300NKSHFRVNFRMTEC,2022-05-02,2023-05-02,2023-05-02,6,1,$23.53M,$7.35M,345861850,380355618,62895277,42883570,0.25,0.0543,21764750,319412,2,Thomas LLC,231361223,GUAR-52827247,AA,$30.21M,6,1,1.0,B,534674292,NA,NA,3,Small Business,0,0,9999-12-31,1,2,0.0608,1,0.0166,0.1108,0.0408,1,ENT-13596538,"Woods, Edwards and Rodriguez",B,2024-05-13,2023-08-14,8205404,774828,62120449,65553840,32516288,38807022,38750871,53068645,59585268,124391955,115390206,299173583,181468328,605033866,608676415,29649072,26845940,101654651,46005138,177308861,200686978,262139397,NA,439448258,34875930,NA,3,23529460,7349443,22098788,6680977,1,2024-09-25,USD,2,1,0,NA,1,0.9687,0
CUST-6392122,IOB-6392122,IOB-6392122,"Smith, Lawrence and Foster",FAC-6392122,FAC-6392122,Moraview,US,72880,541511,1,541511,NASDAQ,YYTP,NA,549300XIFVGECASUPCAX,549300XIFVGECASUPCAX,2021-07-10,2024-07-09,2024-07-09,6,1,$17.73M,$13.73M,196110791,221191452,48569103,68723322,0.2005,0.1147,15963331,407778,4,,,NA,NA,$42.53M,0,1,1.0,A,584551825,NA,NA,5,Middle Market,0,0,9999-12-31,2,1,0.0354,5,NA,NONE,0.0154,1,ENT-6392122,"Smith, Lawrence and Foster",A,2024-11-02,2023-11-02,6990728,639272,47929831,53620495,19128062,30657520,32455731,32149058,33156134,81934640,82913949,133595473,152405820,367935933,378848780,24784626,27613551,44099592,14801666,83685884,73781515,114256858,NA,197942742,21588436,NA,2,NA,NA,NA,NA,1,2025-02-10,USD,1,1,0,NA,0,NA,0
CUST-33563335,IOB-33563335,IOB-33563335,"Klein, Ross and Hernandez",FAC-33563335,FAC-33563335,North Bonniechester,US,42540,541511,1,541511,NASDAQ,UXDP,771074,549300LSSSDHYSEQYVVE,549300LSSSDHYSEQYVVE,2022-08-21,2025-08-20,2025-08-20,6,11,$26.26M,$12.12M,195402912,175957843,35722511,37798060,0.2417,0.1436,24180367,911241,4,,,NA,NA,$65.18M,0,5,0.3401,AA,161578977,NA,NA,6,Middle Market,0,60,9999-12-31,2,2,0.0519,2,0.0396,NONE,0.0319,1,ENT-33563335,"Klein, Ross and Hernandez",AA,2024-12-29,2023-12-30,4421152,1361457,34361054,32998120,22125585,31919646,32262220,31074725,34200554,85119956,80543398,131820251,81348197,298288404,306422097,25640071,21921654,39553186,13127068,78320325,81731319,91789848,NA,170110173,11280842,SNC-33563335,3,NA,NA,NA,NA,1,2024-09-08,USD,1,1,0,NA,1,0.3321,0
CUST-93749067,IOB-93749067,IOB-93749067,Chung and Sons,FAC-93749067,FAC-93749067,South Erinview,CA,52656,541511,1,541511,NYSE,RXEK,NA,549300UDJURFOCWOETET,549300UDJURFOCWOETET,2024-01-16,2025-01-15,2025-01-15,6,11,$15.84M,$7.97M,134503476,143621023,38275188,53090993,0.25,0.1616,14650766,639882,4,,,NA,NA,$36.30M,0,1,1.0,A,610712052,NA,NA,2,Small Business,0,0,9999-12-31,2,2,0.0335,1,0.0155,NONE,NONE,1,ENT-93749067,Chung and Sons,A,2024-12-02,2023-09-22,6675845,817721,37457467,35300600,14022528,20294073,21124096,23544320,24179104,57860921,66173675,106889490,102550765,267301176,262040237,14307798,14930630,31444869,19328164,65080831,59812900,80658688,NA,145739519,18136656,NA,3,15838667,7973468,17405271,7925538,1,2024-08-08,USD,1,2,0,NA,4,0.4854,763122
CUST-41341073,IOB-41341073,IOB-41341073,Jones-Butler,FAC-41341073,FAC-41341073,Jennamouth,GB,69414,522110,1,522110,NYSE,TNNQ,NA,549300LCXMGSKEQMKJBK,549300LCXMGSKEQMKJBK,2022-01-11,2023-01-11,2023-01-11,6,1,$18.13M,$13.01M,193993197,170549691,46995062,70025173,0.1959,0.1201,16278887,426487,4,,,NA,NA,$44.68M,0,1,1.0,CCC,537930887,NA,NA,2,Corporate Banking,0,0,9999-12-31,1,2,0.0679,1,0.0168,NONE,NONE,1,ENT-41341073,Jones-Butler,CCC,2025-01-01,2023-07-30,4829291,858705,46136357,45284783,22736509,25765258,23098875,48146025,53041515,96647792,107097485,135814743,80610748,313073283,294595589,19610574,18590733,51519510,14081025,85211109,97104496,113079811,7541680,198290920,11377029,NA,2,NA,NA,NA,NA,1,2024-09-15,USD,2,1,0,NA,2,0.8157,0
CUST-75279027,IOB-75279027,IOB-75279027,Parker-Martin,FAC-75279027,FAC-75279027,Port Paulview,US,71180,522110,1,522110,NYSE,GQOC,NA,549300IJOLOEYIWVVGYQ,549300IJOLOEYIWVVGYQ,2021-01-28,2023-01-28,2023-01-28,8,11,$10.22M,$4.03M,76678958,77811352,19721014,22880268,0.1043,0.1142,8709414,121731,1,Howard Inc,442295763,GUAR-49653421,BB,$14.48M,0,1,1.0,CCC,NA,NA,NA,4,Corporate Banking,0,0,9999-12-31,2,2,0.0408,2,0.0258,NONE,0.0208,1,ENT-75279027,Parker-Martin,CCC,2024-06-26,2023-09-08,2061445,421478,19299536,20028247,7691944,14235370,14913088,12751207,11108476,34678521,36160187,46820518,48638247,130137286,147324396,10998848,10629847,17533229,7283760,35815837,36305978,59547799,NA,95363636,9538887,NA,1,NA,NA,NA,NA,1,2024-11-18,USD,3,1,0,NA,4,0.185,0
CUST-32671011,IOB-32671011,IOB-32671011,"Long, Williams and Matthews",FAC-32671011,FAC-32671011,Marquezview,US,65920,541511,1,541511,NASDAQ,CJOO,NA,549300YPLFJGFCKGICSV,549300YPLFJGFCKGICSV,2024-07-31,2026-07-31,2026-07-31,6,11,$10.71M,$9.24M,57771291,56349182,17050450,17868392,0.25,0.2344,9910942,627871,1,Taylor-Brown,075557391,GUAR-29099321,CCC,$30.81M,1,1,1.0,BB,331701337,NA,NA,3,Corporate Banking,0,0,9999-12-31,1,2,0.0379,7,0.0247,NONE,0.0179,1,ENT-32671011,"Long, Williams and Matthews",BB,2024-07-19,2023-05-06,2249489,626820,16423630,18643811,6201389,9427334,9281527,10359610,9827119,25988333,27333373,52049034,41400734,119438101,129815533,5914349,5904448,6442177,6120490,18477016,18152913,43622043,NA,62099059,4624739,NA,1,10714532,9235807,11274924,9454174,1,2024-09-11,USD,1,1,0,NA,0,NA,0
CUST-90412031,IOB-90412031,IOB-90412031,Shelton Group,FAC-90412031,FAC-90412031,North Danny,US,25603,541511,1,541511,NYSE,CGJX,NA,549300JBVJGVUJHYQYFJ,549300JBVJGVUJHYQYFJ,2022-01-14,2026-01-13,2026-01-13,6,1,$11.81M,$9.05M,124998727,122157081,35743780,21846508,0.2331,0.1254,10824331,345161,1,"Alexander, Marquez and Morris",795756817,GUAR-16004018,AAA,$29.99M,1,1,1.0,AAA,467320834,NA,NA,1,Corporate Banking,132034,0,9999-12-31,3,4,0.0534,7,0.0373,0.1034,0.0334,1,ENT-90412031,Shelton Group,AAA,2024-11-14,2023-07-21,5554062,697730,35046050,35288896,14117339,21196642,20907568,26594205,27266886,61908186,69358675,77271532,64047507,203227225,230687987,18379166,18134668,28003029,9160624,55542819,50346030,73184175,NA,128726994,10142922,NA,3,11810112,9049948,12930643,9929984,1,2024-11-01,USD,1,1,0,NA,4,0.7163,0
CUST-9420573,IOB-9420573,IOB-9420573,Williams-Kennedy,FAC-9420573,FAC-9420573,Bennettside,GB,29211,541511,1,541511,,NA,NA,549300HOQCGFBVIWFBTT,549300HOQCGFBVIWFBTT,2025-01-06,2026-01-06,2026-01-06,7,11,$20.87M,$18.62M,135743188,139576469,28116979,41329552,0.2037,0.1841,18821456,782539,1,Miller LLC,172292593,GUAR-65189174,B,$51.03M,0,4,0.9218,CCC,820440829,NA,NA,5,Commercial Real Estate,258109,0,9999-12-31,1,1,0.0365,5,NA,NONE,0.0165,1,ENT-9420573,Williams-Kennedy,CCC,2025-01-28,2023-06-24,2943556,794322,27322657,23406102,13549412,20038554,22030615,24539344,26868513,58127310,66287926,86246239,97290827,241664376,248186116,14908960,14553541,34876993,15844401,65630354,71636410,103335917,NA,168966271,19268085,NA,3,NA,NA,NA,NA,1,2024-11-14,USD,3,2,0,NA,3,0.5927,0
CUST-62031149,IOB-62031149,IOB-62031149,"Riley, Orozco and White",FAC-62031149,FAC-62031149,Lake Alexanderhaven,GB,11465,488510,1,488510,NASDAQ,UCNV,916636,549300MQHOVSJICBLAID,549300MQHOVSJICBLAID,2022-02-07,2023-02-07,2023-02-07,7,11,$16.82M,$5.72M,91826894,95154857,18559318,13160983,0.25,0.0469,15560707,197242,4,,,NA,NA,$32.31M,1,1,1.0,BBB,443436877,NA,NA,3,Small Business,0,0,9999-12-31,4,2,0.0334,1,0.0192,NONE,NONE,1,ENT-62031149,"Riley, Orozco and White",BBB,2025-01-07,2023-08-04,2079823,737213,17822105,16251979,7936321,13805413,14593956,14135025,15404677,35876759,37253354,58099208,68817962,162793929,183348570,8536209,7964823,23988881,11918319,44443409,40237120,44420317,NA,88863726,10216184,NA,3,NA,NA,NA,NA,1,2024-12-20,USD,1,1,0,NA,2,0.3272,0
